Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Ekstraklasa ,28,08/05/10,Home,Lech Poznan,Polonia Bytom,3:0,Not Applicable,34',3:0,Left-footed shot,Slawomir Peszko
Ekstraklasa ,29,11/05/10,Away,Lech Poznan,Ruch Chorzow,1:2,Not Applicable,69',1:1,Left-footed shot,Grzegorz Wojtkowiak
Ekstraklasa ,30,15/05/10,Home,Lech Poznan,Zaglebie Lubin,2:0,Not Applicable,58',2:0,Right-footed shot,Sergey Krivets
Bundesliga ,4,19/09/10,Away,Borussia Dortmund,FC Schalke 04,1:3,CF,86',0:3,Header,Nuri Şahin
Bundesliga ,5,22/09/10,Home,Borussia Dortmund,1.FC Kaiserslautern,5:0,CF,75',4:0,Right-footed shot,Jakub Blaszczykowski
Bundesliga ,11,07/11/10,Away,Borussia Dortmund,Hannover 96,0:4,CF,81',0:3,Right-footed shot,Jakub Blaszczykowski
Bundesliga ,13,20/11/10,Away,Borussia Dortmund,SC Freiburg,1:2,SS,75',1:1,Header,Marcel Schmelzer
Europa League ,Gruppenphase,02/12/10,Home,Borussia Dortmund,Karpaty Lviv,3:0,CF,89',3:0,Left-footed shot,Nuri Şahin
Bundesliga ,15,05/12/10,Away,Borussia Dortmund,1.FC Nuremberg,0:2,CF,88',0:2,Left-footed shot,Not Applicable
Bundesliga ,25,04/03/11,Home,Borussia Dortmund,1.FC Köln,1:0,SS,44',1:0,Left-footed shot,Mario Götze
Bundesliga ,30,17/04/11,Home,Borussia Dortmund,SC Freiburg,3:0,CF,43',2:0,Right-footed shot,Not Applicable
Bundesliga ,32,30/04/11,Home,Borussia Dortmund,1.FC Nuremberg,2:0,SS,43',2:0,Right-footed shot,Mats Hummels
DFB-Pokal ,1.Runde,30/07/11,Away,Borussia Dortmund,SV Sandhausen,0:3,CF,10',0:1,Right-footed shot,Shinji Kagawa
DFB-Pokal ,1.Runde,30/07/11,Away,Borussia Dortmund,SV Sandhausen,0:3,CF,90',0:3,Tap-in,Ivan Perišić
Bundesliga ,3,20/08/11,Home,Borussia Dortmund,1.FC Nuremberg,2:0,CF,50',1:0,Right-footed shot,Mario Götze
Bundesliga ,5,10/09/11,Home,Borussia Dortmund,Hertha BSC,1:2,CF,88',1:2,Header,Antônio da Silva
Bundesliga ,8,01/10/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,30',1:0,Right-footed shot,Jakub Blaszczykowski
Bundesliga ,8,01/10/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,44',2:0,Right-footed shot,Sven Bender
Bundesliga ,8,01/10/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,78',4:0,Header,Mario Götze
Champions League ,Gruppenphase,19/10/11,Away,Borussia Dortmund,Olympiacos Piraeus,3:1,CF,26',1:1,Right-footed shot,Mario Götze
Bundesliga ,10,22/10/11,Home,Borussia Dortmund,1.FC Köln,5:0,CF,44',3:0,Right-footed shot,Sven Bender
Bundesliga ,10,22/10/11,Home,Borussia Dortmund,1.FC Köln,5:0,CF,50',4:0,Right-footed shot,Kevin Großkreutz
DFB-Pokal ,2.Runde,25/10/11,Home,Borussia Dortmund,SG Dynamo Dresden,2:0,CF,30',1:0,Header,Mario Götze
Bundesliga ,12,05/11/11,Home,Borussia Dortmund,VfL Wolfsburg,5:1,CF,66',4:1,Right-footed shot,Shinji Kagawa
Bundesliga ,14,26/11/11,Home,Borussia Dortmund,FC Schalke 04,2:0,SS,16',1:0,Header,Marcel Schmelzer
Bundesliga ,15,03/12/11,Away,Borussia Dortmund,Borussia Mönchengladbach,1:1,CF,40',0:1,Header,Mario Götze
Bundesliga ,17,17/12/11,Away,Borussia Dortmund,SC Freiburg,1:4,CF,7',0:1,Right-footed shot,Shinji Kagawa
Bundesliga ,17,17/12/11,Away,Borussia Dortmund,SC Freiburg,1:4,CF,70',1:4,Left-footed shot,Kevin Großkreutz
