Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Copa del Rey ,Halbfinale,26/01/11,Home,FC Barcelona,UD Almería,5:0,CF,15',3:0,Left-footed shot,Andrés Iniesta
LaLiga ,21,29/01/11,Away,FC Barcelona,Hércules CF,0:3,CF,87',0:2,Left-footed shot,Dani Alves
LaLiga ,21,29/01/11,Away,FC Barcelona,Hércules CF,0:3,CF,89',0:3,Left-footed shot,Dani Alves
LaLiga ,22,05/02/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,16',1:0,Left-footed shot,Dani Alves
LaLiga ,22,05/02/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,28',2:0,Left-footed shot,Pedro
LaLiga ,22,05/02/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,78',3:0,Left-footed shot,David Villa
LaLiga ,24,20/02/11,Home,FC Barcelona,Athletic Bilbao,2:1,CF,78',2:1,Right-footed shot,Dani Alves
LaLiga ,25,26/02/11,Away,FC Barcelona,RCD Mallorca,0:3,CF,38',0:1,Header,Seydou Keita
LaLiga ,26,02/03/11,Away,FC Barcelona,Valencia CF,0:1,CF,77',0:1,Left-footed shot,Adriano
Champions League ,Achtelfinale,08/03/11,Home,FC Barcelona,Arsenal FC,3:1,CF,49',1:0,Left-footed shot,Andrés Iniesta
Champions League ,Achtelfinale,08/03/11,Home,FC Barcelona,Arsenal FC,3:1,CF,72',3:1,Penalty,Not Applicable
LaLiga ,31,09/04/11,Home,FC Barcelona,UD Almería,3:1,CF,52',1:1,Penalty,Not Applicable
LaLiga ,31,09/04/11,Home,FC Barcelona,UD Almería,3:1,CF,90'+1,3:1,Left-footed shot,Seydou Keita
Champions League ,Viertelfinale,12/04/11,Away,FC Barcelona,Shakhtar Donetsk,0:1,CF,42',0:1,Left-footed shot,Dani Alves
LaLiga ,32,16/04/11,Away,FC Barcelona,Real Madrid,1:1,CF,53',0:1,Penalty,Not Applicable
LaLiga ,33,23/04/11,Home,FC Barcelona,CA Osasuna,2:0,CF,87',2:0,Right-footed shot,Dani Alves
Champions League ,Halbfinale,27/04/11,Away,FC Barcelona,Real Madrid,0:2,CF,76',0:1,Left-footed shot,Ibrahim Afellay
Champions League ,Halbfinale,27/04/11,Away,FC Barcelona,Real Madrid,0:2,CF,87',0:2,Solo run,Sergio Busquets
Champions League ,Finale,28/05/11,Home,FC Barcelona,Manchester United,3:1,CF,54',2:1,Left-footed shot,Andrés Iniesta
Supercopa ,Finale,14/08/11,Away,FC Barcelona,Real Madrid,2:2,CF,45',1:2,Left-footed shot,Alexis Sánchez
Supercopa ,Finale,17/08/11,Home,FC Barcelona,Real Madrid,3:2,CF,44',2:1,Right-footed shot,Gerard Piqué
Supercopa ,Finale,17/08/11,Home,FC Barcelona,Real Madrid,3:2,CF,88',3:2,Left-footed shot,Adriano
UEFA Super Cup ,Finale,26/08/11,Home,FC Barcelona,FC Porto,2:0,CF,39',1:0,Left-footed shot,Not Applicable
LaLiga ,2,29/08/11,Home,FC Barcelona,Villarreal CF,5:0,CF,51',4:0,Right-footed shot,Andrés Iniesta
LaLiga ,2,29/08/11,Home,FC Barcelona,Villarreal CF,5:0,CF,74',5:0,Left-footed shot,Thiago Alcántara
LaLiga ,4,17/09/11,Home,FC Barcelona,CA Osasuna,8:0,CF,5',1:0,Left-footed shot,Dani Alves
LaLiga ,4,17/09/11,Home,FC Barcelona,CA Osasuna,8:0,CF,41',5:0,Left-footed shot,Cesc Fàbregas
LaLiga ,4,17/09/11,Home,FC Barcelona,CA Osasuna,8:0,CF,79',8:0,Left-footed shot,Cesc Fàbregas
LaLiga ,6,24/09/11,Home,FC Barcelona,Atlético de Madrid,5:0,CF,26',3:0,Left-footed shot,Pedro
LaLiga ,6,24/09/11,Home,FC Barcelona,Atlético de Madrid,5:0,CF,78',4:0,Left-footed shot,Dani Alves
LaLiga ,6,24/09/11,Home,FC Barcelona,Atlético de Madrid,5:0,CF,90'+1,5:0,Left-footed shot,David Villa
Champions League ,Gruppenphase,28/09/11,Away,FC Barcelona,BATE Borisov,0:5,CF,38',0:3,Header,Not Applicable
Champions League ,Gruppenphase,28/09/11,Away,FC Barcelona,BATE Borisov,0:5,CF,56',0:4,Left-footed shot,Dani Alves
LaLiga ,8,15/10/11,Home,FC Barcelona,Racing Santander,3:0,CF,11',1:0,Right-footed shot,Andrés Iniesta
LaLiga ,8,15/10/11,Home,FC Barcelona,Racing Santander,3:0,CF,69',3:0,Right-footed shot,Not Applicable
LaLiga ,11,29/10/11,Home,FC Barcelona,RCD Mallorca,5:0,CF,13',1:0,Penalty,Not Applicable
LaLiga ,11,29/10/11,Home,FC Barcelona,RCD Mallorca,5:0,CF,21',2:0,Right-footed shot,Adriano
LaLiga ,11,29/10/11,Home,FC Barcelona,RCD Mallorca,5:0,CF,30',3:0,Left-footed shot,Dani Alves
Champions League ,Gruppenphase,01/11/11,Away,FC Barcelona,FC Viktoria Plzen,0:4,CF,24',0:1,Penalty,Not Applicable
Champions League ,Gruppenphase,01/11/11,Away,FC Barcelona,FC Viktoria Plzen,0:4,CF,45'+2,0:2,Left-footed shot,Adriano
Champions League ,Gruppenphase,01/11/11,Away,FC Barcelona,FC Viktoria Plzen,0:4,CF,90'+2,0:4,Left-footed shot,Gerard Piqué
LaLiga ,12,06/11/11,Away,FC Barcelona,Athletic Bilbao,2:2,CF,90',2:2,Left-footed shot,Not Applicable
LaLiga ,13,19/11/11,Home,FC Barcelona,Real Zaragoza,4:0,CF,43',2:0,Right-footed shot,Cesc Fàbregas
Champions League ,Gruppenphase,23/11/11,Away,FC Barcelona,AC Milan,2:3,CF,31',1:2,Penalty,Not Applicable
LaLiga ,17,29/11/11,Home,FC Barcelona,Rayo Vallecano,4:0,CF,49',4:0,Left-footed shot,Dani Alves
LaLiga ,15,03/12/11,Home,FC Barcelona,Levante UD,5:0,CF,55',4:0,Left-footed shot,Dani Alves
Club World Cup ,Finale,18/12/11,Away,FC Barcelona,Santos FC,0:4,RW,17',0:1,Left-footed shot,Xavi
Club World Cup ,Finale,18/12/11,Away,FC Barcelona,Santos FC,0:4,RW,82',0:4,Left-footed shot,Dani Alves
