Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Campeonato Paulista ,5,05/02/12,Home,Santos FC,Sociedade Esportiva Palmeiras,1:2,Not Applicable,70',1:0,Not reported,Not Applicable
Campeonato Paulista ,6,10/02/12,Away,Santos FC,Botafogo FC,1:4,Not Applicable,76',1:1,Not reported,Not Applicable
Campeonato Paulista ,6,10/02/12,Away,Santos FC,Botafogo FC,1:4,Not Applicable,78',1:2,Penalty,Not Applicable
Campeonato Paulista ,6,10/02/12,Away,Santos FC,Botafogo FC,1:4,Not Applicable,88',1:3,Not reported,Not Applicable
Campeonato Paulista ,10,25/02/12,Home,Santos FC,Associação Atlética Ponte Preta,6:1,Not Applicable,27',1:0,Not reported,Not Applicable
Campeonato Paulista ,10,25/02/12,Home,Santos FC,Associação Atlética Ponte Preta,6:1,Not Applicable,77',6:1,Not reported,Not Applicable
Libertadores ,Gruppenphase,07/03/12,Home,Santos FC,Sport Club Internacional,3:1,CF,19',1:0,Penalty,Not Applicable
Libertadores ,Gruppenphase,07/03/12,Home,Santos FC,Sport Club Internacional,3:1,CF,54',2:0,Solo run,Juan
Libertadores ,Gruppenphase,07/03/12,Home,Santos FC,Sport Club Internacional,3:1,CF,65',3:1,Solo run,Ganso
Campeonato Paulista ,14,18/03/12,Away,Santos FC,São Paulo Futebol Clube,3:2,Not Applicable,76',2:2,Not reported,Not Applicable
Libertadores ,Gruppenphase,23/03/12,Home,Santos FC,Club Juan Aurich,2:0,CF,59',2:0,Not reported,Borges
Campeonato Paulista ,16,30/03/12,Home,Santos FC,Guaratinguetá (SP),5:0,Not Applicable,3',1:0,Not reported,Not Applicable
Campeonato Paulista ,16,30/03/12,Home,Santos FC,Guaratinguetá (SP),5:0,Not Applicable,42',4:0,Penalty,Not Applicable
Campeonato Paulista ,16,30/03/12,Home,Santos FC,Guaratinguetá (SP),5:0,Not Applicable,87',5:0,Penalty,Not Applicable
Campeonato Paulista ,18,08/04/12,Away,Santos FC,AD São Caetano (SP),2:1,Not Applicable,31',0:1,Not reported,Not Applicable
Campeonato Paulista ,19,15/04/12,Home,Santos FC,Grêmio Catanduvense (SP),5:0,Not Applicable,63',3:0,Not reported,Not Applicable
Libertadores ,Gruppenphase,20/04/12,Home,Santos FC,The Strongest La Paz,2:0,CF,88',2:0,Not reported,Not Applicable
Paulistão A1 - Fase Final ,Viertelfinale,22/04/12,Home,Santos FC,Mogi Mirim EC,2:0,Not Applicable,71',2:0,Not reported,Not Applicable
Paulistão A1 - Fase Final ,Halbfinale,29/04/12,Away,Santos FC,São Paulo Futebol Clube,1:3,Not Applicable,3',0:1,Penalty,Not Applicable
Paulistão A1 - Fase Final ,Halbfinale,29/04/12,Away,Santos FC,São Paulo Futebol Clube,1:3,Not Applicable,31',0:2,Not reported,Ganso
Paulistão A1 - Fase Final ,Halbfinale,29/04/12,Away,Santos FC,São Paulo Futebol Clube,1:3,Not Applicable,77',1:3,Not reported,Léo
Paulistão A1 - Fase Final ,Finale,06/05/12,Away,Santos FC,Guarani Futebol Clube (SP),0:3,Not Applicable,65',0:2,Not reported,Not Applicable
Paulistão A1 - Fase Final ,Finale,06/05/12,Away,Santos FC,Guarani Futebol Clube (SP),0:3,Not Applicable,90',0:3,Not reported,Not Applicable
Libertadores ,Achtelfinale,11/05/12,Home,Santos FC,Bolívar La Paz,8:0,CF,21',2:0,Penalty,Not Applicable
Libertadores ,Achtelfinale,11/05/12,Home,Santos FC,Bolívar La Paz,8:0,CF,36',5:0,Right-footed shot,Elano
Paulistão A1 - Fase Final ,Finale,13/05/12,Home,Santos FC,Guarani Futebol Clube (SP),4:2,Not Applicable,8',2:1,Penalty,Not Applicable
Paulistão A1 - Fase Final ,Finale,13/05/12,Home,Santos FC,Guarani Futebol Clube (SP),4:2,Not Applicable,71',3:2,Not reported,Not Applicable
Libertadores ,Halbfinale,21/06/12,Away,Santos FC,Sport Club Corinthians Paulista,1:1,LW,36',0:1,Tap-in,Not Applicable
Série A ,6,24/06/12,Home,Santos FC,Coritiba Foot Ball Club,2:2,LW,71',2:1,Right-footed shot,Alan Kardec
Série A ,8,08/07/12,Home,Santos FC,Grêmio Foot-Ball Porto Alegrense,4:2,CF,62',3:0,Header,Not Applicable
Série A ,17,16/08/12,Away,Santos FC,Figueirense Futebol Clube,1:3,CF,51',1:1,Solo run,Not Applicable
Série A ,19,25/08/12,Away,Santos FC,Sociedade Esportiva Palmeiras,1:2,CF,44',1:1,Direct free kick,Not Applicable
Série A ,19,25/08/12,Away,Santos FC,Sociedade Esportiva Palmeiras,1:2,CF,63',1:2,Right-footed shot,Ganso
Série A ,24,12/09/12,Home,Santos FC,CR Flamengo,2:0,CF,87',2:0,Right-footed shot,Bruno Peres
